DATE,T10Y3M,CPI,SP500,Median_House_Price,UNRATE,USREC,WTISPLC
1970-09-01,1.27,39.2,80.94999695,22600,5.4,1,3.31
1970-10-01,1.42,39.4,84.31999969,22100,5.5,1,3.31
1970-11-01,1.56,39.6,83.51000214,23500,5.9,1,3.31
1970-12-01,1.52,39.8,87.47000122,22300,6.1,0,3.56
1971-01-01,1.8,39.9,91.15000153,23900,5.9,0,3.56
1971-02-01,2.41,39.9,96.41999817,24500,5.9,0,3.56
1971-03-01,2.32,40.0,97.0,24300,6.0,0,3.56
1971-04-01,1.97,40.1,100.3899994,25800,5.9,0,3.56
1971-05-01,2.25,40.3,103.2900009,25500,5.9,0,3.56
1971-06-01,1.77,40.5,100.1999969,26100,5.9,0,3.56
1971-07-01,1.33,40.6,99.77999878,25200,6.0,0,3.56
1971-08-01,1.64,40.7,95.95999908,25300,6.1,0,3.56
1971-09-01,1.45,40.8,99.06999969,25400,6.0,0,3.56
1971-10-01,1.47,40.9,98.93000031,25600,5.8,0,3.56
1971-11-01,1.59,41.0,92.80000305,25700,6.0,0,3.56
1971-12-01,1.92,41.1,95.44000244,25300,6.0,0,3.56
1972-01-01,2.57,41.2,101.6699982,24700,5.8,0,3.56
1972-02-01,2.88,41.4,104.0100021,26500,5.7,0,3.56
1972-03-01,2.34,41.4,107.3499985,27400,5.8,0,3.56
1972-04-01,2.48,41.5,107.4800034,26700,5.7,0,3.56
1972-05-01,2.44,41.6,106.6900024,27000,5.7,0,3.56
1972-06-01,2.2,41.7,109.6900024,26800,5.7,0,3.56
1972-07-01,2.13,41.8,107.4899979,27700,5.6,0,3.56
1972-08-01,2.19,41.9,108.4000015,28100,5.6,0,3.56
1972-09-01,1.89,42.1,111.5100021,28000,5.5,0,3.56
1972-10-01,1.74,42.2,110.1600037,28900,5.6,0,3.56
1972-11-01,1.5,42.4,112.6699982,29100,5.3,0,3.56
1972-12-01,1.29,42.5,117.3799973,29700,5.2,0,3.56
1973-01-01,1.05,42.7,119.0999985,29900,4.9,0,3.56
1973-02-01,1.04,43.0,114.7600021,29700,5.0,0,3.56
1973-03-01,0.62,43.4,111.0500031,31400,4.9,0,3.56
1973-04-01,0.41,43.7,110.1800003,32800,5.0,0,3.56
1973-05-01,0.49,43.9,107.0999985,32000,4.9,0,3.56
1973-06-01,-0.29,44.2,103.9300003,33100,4.9,0,3.56
1973-07-01,-0.88,44.2,102.9000015,34200,4.8,0,3.56
1973-08-01,-1.27,45.0,106.8300018,33200,4.8,0,4.31
1973-09-01,-1.2,45.2,104.5100021,33200,4.8,0,4.31
1973-10-01,-0.43,45.6,108.2099991,33300,4.6,0,4.31
1973-11-01,-1.1,45.9,107.6900024,34000,4.8,0,4.31
1973-12-01,-0.71,46.3,93.90000153,35700,4.9,1,4.31
1974-01-01,-0.78,46.8,97.68000031,34200,5.1,1,10.11
1974-02-01,-0.16,47.3,95.31999969,34900,5.2,1,10.11
1974-03-01,-0.75,47.8,95.52999878,36000,5.1,1,10.11
1974-04-01,-0.82,48.1,93.25,35700,5.1,1,10.11
1974-05-01,-0.65,48.6,92.22000122,35700,5.1,1,10.11
1974-06-01,-0.36,49.0,89.09999847,35100,5.4,1,10.11
1974-07-01,0.26,49.3,86.01999664,36800,5.5,1,10.11
1974-08-01,-0.92,49.9,78.75,35700,5.5,1,10.11
1974-09-01,-0.02,50.6,70.51999664,36200,5.9,1,10.11
1974-10-01,0.44,51.0,63.38999939,37200,6.0,1,11.16
1974-11-01,0.21,51.5,73.87999725,37300,6.6,1,11.16
1974-12-01,0.28,51.9,68.11000061,37400,7.2,1,11.16
1975-01-01,1.24,52.3,70.23000336,37200,8.1,1,11.16
1975-02-01,1.89,52.6,77.81999969,37900,8.1,1,11.16
1975-03-01,2.24,52.8,83.02999878,38800,8.6,1,11.16
1975-04-01,2.62,53.0,82.63999939,39200,8.8,0,11.16
1975-05-01,2.83,53.1,88.09999847,39500,9.0,0,11.16
1975-06-01,2.52,53.5,92.58000183,37900,8.8,0,11.16
1975-07-01,1.93,54.0,94.84999847,38600,8.6,0,11.16
1975-08-01,1.96,54.2,87.98999786,38200,8.4,0,11.16
1975-09-01,2.01,54.6,85.48000336,39700,8.4,0,11.16
1975-10-01,2.18,54.9,82.93000031,40700,8.4,0,11.16
1975-11-01,2.57,55.3,88.08999634,41100,8.3,0,11.16
1975-12-01,2.56,55.6,90.66999817,42100,8.2,0,11.16
1976-01-01,2.87,55.8,90.90000153,41600,7.9,0,11.16
1976-02-01,2.91,55.9,100.8700027,42700,7.7,0,12.03
1976-03-01,2.73,56.0,100.0199966,43600,7.6,0,12.1
1976-04-01,2.7,56.1,102.2399979,43300,7.7,0,12.17
1976-05-01,2.7,56.4,100.9199982,43600,7.4,0,12.17
1976-06-01,2.45,56.7,99.84999847,46100,7.6,0,12.17
1976-07-01,2.6,57.0,103.5899963,44600,7.8,0,12.17
1976-08-01,2.63,57.3,103.1900024,44200,7.8,0,12.17
1976-09-01,2.51,57.6,104.0599976,44700,7.6,0,13.9
1976-10-01,2.49,57.9,104.1699982,45300,7.7,0,13.9
1976-11-01,2.54,58.1,103.0999985,45800,7.8,0,13.9
1976-12-01,2.52,58.4,102.4899979,45900,7.8,0,13.9
1977-01-01,2.59,58.7,107.0,45500,7.5,0,13.9
1977-02-01,2.72,59.3,102.5400009,47400,7.6,0,13.9
1977-03-01,2.86,59.6,100.6600037,46200,7.4,0,13.9
1977-04-01,2.83,60.0,99.20999908,48700,7.2,0,13.9
1977-05-01,2.5,60.2,98.93000031,49300,7.0,0,13.9
1977-06-01,2.26,60.5,96.93000031,48700,7.2,0,13.9
1977-07-01,2.14,60.8,100.0999985,48600,6.9,0,13.9
1977-08-01,1.91,61.1,99.12000275,49000,7.0,0,14.85
1977-09-01,1.53,61.3,96.83000183,48500,6.8,0,14.85
1977-10-01,1.36,61.6,96.73999786,51400,6.8,0,14.85
1977-11-01,1.48,62.0,91.34999847,51800,6.8,0,14.85
1977-12-01,1.62,62.3,94.69000244,52700,6.4,0,14.85
1978-01-01,1.52,62.7,93.81999969,52300,6.4,0,14.85
1978-02-01,1.58,63.0,89.93000031,53200,6.3,0,14.85
1978-03-01,1.75,63.4,87.19000244,53200,6.3,0,14.85
1978-04-01,1.86,63.9,88.45999908,53300,6.1,0,14.85
1978-05-01,1.94,64.5,97.66999817,55700,6.0,0,14.85
1978-06-01,1.73,65.0,97.34999847,56700,5.9,0,14.85
1978-07-01,1.63,65.5,95.08999634,54800,6.2,0,14.85
1978-08-01,1.33,65.9,100.6600037,56100,5.9,0,14.85
1978-09-01,0.57,66.5,103.6800003,57300,6.0,0,14.85
1978-10-01,0.65,67.1,102.9599991,58300,5.8,0,14.85
1978-11-01,0.17,67.5,96.84999847,58700,5.9,0,14.85
1978-12-01,-0.07,67.9,96.27999878,59900,6.0,0,14.85
1979-01-01,-0.25,68.5,96.73000336,60300,5.9,0,14.85
1979-02-01,-0.22,69.2,99.95999908,61200,5.9,0,15.85
1979-03-01,-0.36,69.9,96.90000153,60400,5.8,0,15.85
1979-04-01,-0.28,70.6,100.9000015,62600,5.8,0,15.85
1979-05-01,-0.36,71.4,101.6800003,62800,5.6,0,18.1
1979-06-01,-0.15,72.2,99.16999817,64200,5.7,0,19.1
1979-07-01,-0.29,73.0,101.9899979,63800,5.7,0,21.75
1979-08-01,-0.49,73.7,104.1699982,64000,6.0,0,26.5
1979-09-01,-0.93,74.4,107.4400024,66000,5.9,0,28.5
1979-10-01,-1.4,75.2,108.5599976,62300,6.0,0,29.0
1979-11-01,-1.14,76.0,102.5699997,63900,5.9,0,31.0
1979-12-01,-1.65,76.9,105.8300018,61500,6.0,0,32.5
1980-01-01,-1.2,78.0,105.7600021,62900,6.3,0,32.5
1980-02-01,-0.45,79.0,115.1200027,64900,6.3,1,37.0
1980-03-01,-2.45,80.1,112.5,62600,6.3,1,38.0
1980-04-01,-1.73,80.9,102.1800003,63100,6.9,1,39.5
1980-05-01,1.6,81.7,105.4599991,63100,7.5,1,39.5
1980-06-01,2.71,82.5,110.7600021,64900,7.6,1,39.5
1980-07-01,2.19,82.6,114.9300003,64000,7.8,1,39.5
1980-08-01,1.97,83.2,121.2099991,63400,7.7,0,38.0
1980-09-01,1.24,83.9,123.7399979,68300,7.5,0,36.0
1980-10-01,0.13,84.7,127.1299973,65600,7.5,0,36.0
1980-11-01,-1.05,85.6,129.0399933,66700,7.5,0,36.0
1980-12-01,-2.65,86.4,137.2100067,67000,7.2,0,37.0
1981-01-01,-2.45,87.2,136.3399963,67600,7.5,0,38.0
1981-02-01,-1.6,88.0,126.9100037,66200,7.4,0,38.0
1981-03-01,-0.24,88.6,132.0099945,66700,7.4,0,38.0
1981-04-01,-0.01,89.1,136.5700073,68700,7.2,0,38.0
1981-05-01,-2.2,89.7,132.7200012,70800,7.5,0,38.0
1981-06-01,-1.26,90.5,132.4100037,68800,7.5,0,36.0
1981-07-01,-0.67,91.5,129.7700043,69500,7.2,0,36.0
1981-08-01,-0.57,92.2,130.4799957,72600,7.4,1,36.0
1981-09-01,0.62,93.1,123.0199966,65800,7.6,1,36.0
1981-10-01,1.61,93.4,117.0800018,69600,7.9,1,35.0
1981-11-01,2.53,93.8,124.1999969,71200,8.3,1,36.0
1981-12-01,2.87,94.1,126.0999985,68400,8.5,1,35.0
1982-01-01,2.31,94.4,122.7399979,66200,8.6,1,33.85
1982-02-01,0.95,94.7,117.7799988,65700,8.9,1,31.56
1982-03-01,1.18,94.7,113.3099976,67200,9.0,1,28.48
1982-04-01,1.17,95.0,113.7900009,70200,9.3,1,33.45
1982-05-01,1.53,95.9,116.8199997,69300,9.4,1,35.93
1982-06-01,1.83,97.0,111.6800003,69300,9.6,1,35.07
1982-07-01,2.6,97.5,108.7099991,70900,9.8,1,34.16
1982-08-01,4.38,97.7,108.9800034,70100,9.8,1,33.95
1982-09-01,4.42,97.7,118.25,67800,10.1,1,35.63
1982-10-01,3.2,98.1,121.9700012,69700,10.4,1,35.68
1982-11-01,2.48,98.0,135.4700012,73500,10.8,1,34.15
1982-12-01,2.6,97.7,138.7200012,71700,10.8,0,31.72
1983-01-01,2.6,97.9,138.3399963,73500,10.4,0,31.19
1983-02-01,2.61,98.0,142.9600067,73800,10.4,0,28.95
1983-03-01,2.16,98.1,150.8800049,72500,10.3,0,28.82
1983-04-01,2.19,98.8,153.0200043,74700,10.2,0,30.61
1983-05-01,2.19,99.2,162.1100006,74500,10.1,0,30.0
1983-06-01,2.06,99.4,162.5500031,75800,10.1,0,31.0
1983-07-01,2.3,99.8,168.6399994,75200,9.4,0,31.66
1983-08-01,2.51,100.1,162.0399933,76800,9.5,0,31.91
1983-09-01,2.65,100.4,164.2299957,81000,9.2,0,31.11
1983-10-01,2.9,100.8,165.8099976,75900,8.8,0,30.41
1983-11-01,2.93,101.1,163.6600037,75900,8.5,0,29.84
1983-12-01,2.83,101.4,166.4900055,75900,8.3,0,29.24
1984-01-01,2.77,102.1,164.0399933,76200,8.0,0,29.69
1984-02-01,2.75,102.6,162.7400055,79200,7.8,0,30.145
1984-03-01,2.8,102.9,158.1900024,78400,7.8,0,30.761
1984-04-01,2.94,103.3,157.9799957,79600,7.7,0,30.618
1984-05-01,3.58,103.5,161.6799927,81400,7.4,0,30.52
1984-06-01,3.69,103.7,153.2400055,80500,7.2,0,29.967
1984-07-01,3.24,104.1,153.1999969,80700,7.5,0,28.752
1984-08-01,2.25,104.4,154.0800018,82000,7.5,0,29.25
1984-09-01,2.15,104.7,164.8800049,81300,7.3,0,29.311
1984-10-01,2.42,105.1,164.6199951,80100,7.4,0,28.765
1984-11-01,2.96,105.3,167.4900055,82500,7.2,0,28.098
